城市,年份,文本内容,economic_growth_goal
上海市,2016,"         
	上海市市长杨雄
　　（六）生态环境建设和城市管理力度进一步加大。全面开展国家园林城市创建工作，建成一批大型公共绿地和郊区片林，城市人均公共绿地面积预计达到9.16平方米，绿化覆盖率预计达到35.2%，森林覆盖率预计达到15.1%，通过了国家园林城市考核。完善环境保护和环境建设协调推进机制，全面启动第二轮“环保三年行动计划”。苏州河综合整治二期和污水治理三期等一批重大治理项目开工建设，中小河道整治得到加强，全市水环境质量稳步改善。江桥垃圾焚烧厂和浦东垃圾生化处理厂投入使用，城市固体废物处置利用水平进一步提高。清洁能源替代工作加快推进，新机动车尾气排放标准进一步提高，空气质量指数二级和优于二级天数占全年比例超过85%。吴淞、桃浦工业区环境整治取得新进展。农业生态环境保护加大了力度。城市规划管理工作得到加强，中心城区积极推行“双增双减”，郊区积极推进“三个集中”，城市规划体系、管理体制和法规进一步完善。强化土地资源管理和土地一级市场调控，认真清理整顿土地市场秩序，经营性土地出让全面实行公开招投标。切实加强交通管理，大力整治交通秩序，努力缓解局部地区交通拥堵状况。制定了《上海市灾害事故紧急处置总体预案》，城市综合减灾体系框架基本确立。
　　（七）就业和社会保障工作进一步加强。各级政府认真落实促进就业责任制，加大了就业和再就业工作的力度，全年新增就业岗位46万个。实施了促进就业的八项配套政策，发展多渠道的就业形式，鼓励企业招用下岗失业人员，大力扶持创业和自谋职业。开拓新的公益性岗位，重点解决就业困难人员的就业问题。对农村富余劳动力实施与城镇劳动力相同的就业服务和就业优惠政策，积极推进非农就业。实施职业技能振兴计划，再就业培训工作进一步加强。按照完善社会保障制度的总体思路，出台并实施了《上海市小城镇社会保险暂行办法》。完善城镇职工基本医疗保险制度，稳步推进医保分类给付工作，实施定点医疗机构和药店契约化管理，“三医联动”改革不断深化。加大了市级财政对经济薄弱区县的农村合作医疗基金的支持力度，农村合作医疗制度进一步完善。切实解决困难群众的住房问题，建成了一批中低价位商品住房，完成了一批旧住房的“平改坡”，廉租住房对象的认定标准从人均居住面积5平方米提高到7平方米，受益困难家庭累计达到近1万户，对中低收入家庭实行了购房贷款贴息政策。进一步改善为老服务条件，新增2500张养老床位。居委会换届工作基本完成。全力做好社会矛盾的化解工作，维护社会稳定。
　　（八）社会事业发展和精神文明建设取得新成绩。加快科技发展，启动了若干重大关键技术的研究，燃料电池、信息安全、磁悬浮等一批重大项目研究取得进展，形成了一批核心技术和自主知识产权成果。加强知识产权保护工作，以发明专利为重点推进专利申请，专利申请数预计比上年增长12.1%。上海科学家荣获国家自然科学奖一等奖。推进高校布局调整，杨浦知识创新区启动建设。初中建设工程取得显著成效，一批相对薄弱的初中学校办学水平得到提高。加大教育乱收费查处力度，中小学收费行为逐步规范。职业教育和成人教育进一步发展。文化体制改革逐步推进，文化事业进一步繁荣，成功举办了第五届中国上海国际艺术节。全面完成17家市级医院急诊室改造和40家乡镇卫生院标准化建设任务，市民就医条件得到改善。加强人口管理的综合协调，初步确立了人口综合调控新体制。加强市民体质监测，群众性体育活动蓬勃开展。双拥工作进一步加强，全市11个区被授予全国双拥工作先进模范区。精神文明创建扎实推进，广泛开展城市精神大讨论和“与文明同行”活动，城市文明程度进一步提高。
　　（九）政府职能转变和政府自身建设进一步加强。按照精简高效的原则，对市政府部分机构进行了改革和职能调整、整合，基本完成新建和调整机构的“三定”工作。深入推进行政审批制度改革，以清理收费项目为重点，取消、调整的第三批审批事项达243项，告知承诺、并联审批、企业年检等试点工作取得成效，审批程序有所简化。加强依法行政，制定、修订和废止政府规章19件，提出制定、修订和废止地方性法规议案20件。加大政府自身建设力度，出台了《上海市人民政府关于加强自身建设的若干规定》和《上海市人民政府工作规则》，不断完善政府工作制度和工作规范。认真实施市级机关收入分配改革，为建立规范的机关收入分配制度奠定了基础。建立了市政府新闻发言人制度，积极推进电子政务建设，市公务网主干网开通运行，政府办事效率和工作透明度得到提高。
　　各位代表，过去一年所取得的成绩来之不易。这是党中央、国务院坚强领导的结果，得益于历届市委、市政府打下的良好工作基础，离不开市人大、市政协的支持和监督。特别是一年来，全市人民团结一致，奋力拼搏，在抗击非典的斗争中，万众一心、众志成城、顾全大局、守望相助，涌现了许许多多感人的事迹，弘扬了上海城市精神；在推进“四个中心”建设和改革发展稳定各项工作中，知难而上、迎难而进、齐心协力、勇于开拓，展示了无比的智慧和勇气，全市人民日益增强的自信心和凝聚力已经成为上海进一步发展的宝贵精神财富和强大动力。在此，我谨代表上海市人民政府，向作出无私奉献、付出辛勤劳动的全市人民，表示崇高的敬意和由衷的感谢！向给予政府工作大力支持的人大代表和政协委员，向各民主党派、工商联和各界人士，向中央各部门、兄弟省市和驻沪三军、武警部队，向关心和支持上海发展的香港、澳门特别行政区同胞、台湾同胞、海外侨胞和国际友人，表示诚挚的感谢！
　　各位代表，我们也清醒地看到，在前进中我们还面临着许多亟待解决的问题，主要表现为：一是经济社会发展中出现一些新情况、新矛盾，特别是产业结构战略性调整的任务仍然很艰巨，现代服务业新的增长点还需要进一步加快培育；电力等能源供需紧张矛盾还未得到有效缓解，土地等资源对经济增长的制约作用逐步增大；商品住房价格上涨偏快，房地产市场调控有待加强；社会事业发展，特别是郊区的卫生、教育、文化等事业发展相对滞后。二是改革发展稳定中还存在一些矛盾与困难，特别是就业结构与产业结构不相适应的问题还没有根本解决，就业和再就业压力仍然较大；交通管理、安全生产等城市管理工作中还有一些薄弱环节需要进一步加强；涉及动拆迁、征地农民安置、企业转制等方面影响社会稳定的工作需要进一步引起重视，社会矛盾的化解工作机制需要不断完善。三是政府工作还存在一些不足和薄弱环节，特别是政府职能“错位”、“越位”、“缺位”问题还没有完全解决，政府的社会管理、公共服务等职能需要不断强化；依法行政和行政审批制度改革工作还需进一步深化，政风行风建设力度还要不断加大；一些政府工作人员的形式主义、官僚主义作风，弄虚作假、铺张浪费行为，腐败现象和不正之风仍然时有发生。这些问题都必须高度重视，在今后的工作中切实加以解决。

　　二、2004年工作的总体要求和主要任务
　　2004年工作的总体要求是：在以胡锦涛同志为总书记的党中央领导下，以邓小平理论和“三个代表”重要思想为指导，全面落实党的十六大、十六届三中全会和市八次党代会、市委八届四次全会精神，坚持开创性、坚韧性、操作性相统一和连续性、稳定性、开拓性相结合，围绕建设“四个中心”总目标和实施科教兴市主战略，积极适应国内外的新形势，千方百计抓机遇，聚精会神搞建设，一心一意谋发展，加强统筹和协调，确保国民经济持续快速协调健康发展，确保各项社会事业全面发展，确保社会秩序稳定良好，确保人民生活不断改善。全市经济和社会发展的主要预期目标为：国内生产总值增长10%以上，城镇登记失业率4.6 %左右，居民消费价格指数103左右，地方财政收入保持与国内生产总值同步增长，全社会研究与发展经费支出相当于国内生产总值的比重达到2.2%，环保投入相当于国内生产总值的比重达到3%以上，城市和农村居民家庭人均可支配收入增幅高于全国平均水平。
　　做好今年工作，要坚持全面、协调和可持续的科学发展观。促进社会主义物质文明、政治文明和精神文明协调发展。坚持以人为本，在加快经济发展的同时，更加注重加快各项社会事业的发展，更加注重环境保护和资源的有效利用，促进经济、社会和人的全面发展，实现人与自然的和谐相处。
　　要坚持科教兴市战略。牢固树立“科技是第一生产力，人才是第一资源”的思想，把科教兴市战略作为上海经济社会发展的主战略，统领全市各项工作，在思想观念创新、体制瓶颈突破、人才资源开发、政策支持聚焦、产业化项目等方面狠抓落实，着力推进，不断增强城市持续创新能力，在更高起点上实现上海经济社会发展新的跨越。
　　要坚持面向世界、服务全国。继续发挥浦东开发开放的先发效应，进一步扩大对外开放，在积极参与经济全球化的过程中，抓住国际产业转移的机遇，加快产业结构优化升级，提升上海产业的国际竞争力。进一步增强大局意识、服务意识，推动上海与长江三角洲及沿江地区共同发展，积极参与西部大开发，积极支持东北地区等老工业基地改造振兴，在融入全国、服务全国中加快上海自身发展。
　　要坚持体制创新和机制创新。以深化改革来突破各种体制、机制瓶颈，着力解决经济社会发展中的深层次矛盾，切实改善政府管理经济和社会的方式，处理好政府与企业、市场、社会之间的关系，更大程度地发挥市场在资源配置中的基础性作用。
　　要坚持改革发展稳定相协调。把改革的力度、发展的速度和社会可承受的程度有机地统一起来，既要不失时机地推进改革，全力以赴加快发展，又要在改革发展中切实维护人民群众的根本利益，使广大人民群众从改革发展中获得更多的实惠，不断改善人民群众生活。
　　要坚持当前与长远相结合。在保持政策连续性、稳定性的同时，要根据经济社会发展的新变化，适时适度地进行调整。结合“十一五”规划编制和2010年上海世博会筹备等工作，深入研究事关上海发展的全局性、战略性、关键性问题，为上海的长远发展打下良好基础。
　　今年要重点做好十方面工作：
　　（一）贯彻实施科教兴市战略行动纲要，为经济社会持续快速协调健康发展提供坚强支持
　　实施科教兴市战略行动纲要，核心是增强全社会的创新能力，关键是加快人才和人力资源开发。要通过建设公共服务平台、实施重大科技项目、推进体制机制创新和构筑人才高地，把科教兴市战略落到实处。
　　集中力量建设公共服务平台。全方位开放的综合性公共服务平台，是汇集和凝聚人才、知识、资本、企业的舞台，是吸引和促进创新创业的坚实支撑。要有效地发挥政府的推动力和市场配置资源的基础性作用，加快构筑公共服务平台，完善创新支持体系，促进资源共享，降低科技创新成本。要建设研发公共服务平台，向全社会开放大型科技仪器、设备和公共实验室，为各种产业研发提供设计、检测、测试、标准化等专业技术服务。要建设人力资源服务平台，推进人才市场和劳动力市场的整合，发展社会化、市场化的人才创业和劳动者就业中介服务机构。要建设科技创业投资服务平台，进一步发挥政府风险投资资金的导向作用，鼓励发展各类科技风险投资机构，加快推进风险投资主体多元化。要建设信息服务平台，整合各类信息资源，突破科技研发、成果转化中的信息传导障碍。要建设知识产权服务平台，发展各类知识产权专业服务机构，完善经营和服务规则，加强知识产权保护。
　　推进重大产业科技攻关项目建设。围绕国家战略性科研项目，加强和优化科技资源配置，力争在参与、承担和领衔国家项目过程中，不断提高上海科技原创力。在信息技术、能源技术、环保技术、生物技术、新材料技术等关键领域，规划和启动一批经济效益明显、发展联动效应大、有利于支撑产业战略升级的重大科技项目，推动产业高地建设，培育一批自主创新能力强的企业和具有竞争力的品牌。增加政府对重大科技项目的投入，发挥政府投入的放大效应，引导更多的社会资金参与重大科技项目建设。
　　大力推进体制机制创新。要突破科技创新的体制机制瓶颈，在财税、融资、用人和分配等方面发挥政策的引导和激励作用，促进人才、知识和资本等要素有效结合。推动高校、科研机构和企业形成紧密的战略联盟。加大政府和全社会对教育和研发的投入，推动国有大企业加强技术创新，促进企业尽快成为技术创新的主体。鼓励和支持非公资本以多种形式参与科技和教育发展，增强高等院校和科研机构适应市场经济发展的能力。
　　深入推进人才高地建设。贯彻落实国家人才强国战略，充分发挥上海人才资源优势，实施人才强市战略，全面加强人才建设，为上海现代化建设提供坚强的人才保证和智力支持。强化各种职业和岗位培训，完善终身教育体系，构建学习型城市。以产业发展为依托，积极实施海外人才集聚工程，努力吸引高层次人才和紧缺专门人才。完善人才工作体制和机制，改进宏观管理，坚持市场配置人才资源，完善人才市场服务体系，促进人才合理流动。推进人才评价的科学化、社会化，建立以公开、竞争、择优为导向的人才选拔任用机制。实行收入与绩效挂钩，完善技术、知识、管理等要素参与分配的制度，努力营造优秀人才脱颖而出、充分施展才能的良好环境。
　　（二）加快产业结构优化升级，提升产业的国际竞争力
　　建设新型产业体系，必须长期坚持“三、二、一”产业发展方针，长期坚持二、三产业共同推动经济发展。要把握国际产业结构调整的大趋势，优先发展现代服务业和先进制造业，进一步优化产业结构。
　　以优先发展现代服务业为重点，加快第三产业结构升级。重点发展金融、物流、信息服务、咨询、中介、会展和旅游等现代服务业，加快发展与产业延伸密切相关的生产性服务业，进一步增强城市综合服务功能。配合国家金融宏观调控和监管部门，鼓励金融体制和服务创新，积极引进和发展各类金融机构及业务中心，大力发展资本市场、金融衍生品市场、保险市场和期货市场，加强金融风险防范，促进金融业在规范中快速发展，加快推进上海国际金融中心建设。依托上海大口岸优势，加快物流园区建设，大力发展现代物流业。继续推进商业布局结构和经营业态调整，增强现代商业集聚、辐射能力。加快发展以知识要素、专业人才为支撑的中介组织，完善中介服务体系。加快会展设施建设，办好国际国内会展项目，促进会展业快速发展。完善旅游基础设施，丰富都市旅游产品，提升旅游业竞争力。积极发展吸纳就业强、方便群众的生活服务业。
　　以优先发展先进制造业为重点，加快第二产业结构升级。继续推进产业基地和一批重大项目建设，微电子产业基地要注重向研发、设计、测试、封装等上下游产业延伸，汽车产业基地要继续扩大零部件及整车生产规模，化学工业区要加快90万吨乙烯等化工主体项目建设，精品钢铁基地要加快产品升级。同时，加快临港新城产业基地建设，引导以现代装备制造业为核心的相关产业向临港新城集聚。结合黄浦江沿岸造船企业搬迁，加快长兴岛造船产业基地建设。加快信息技术、生物医药和新材料等产业发展，增强高新技术产业的主导地位。广泛运用高新技术和先进适用技术改造提升传统产业，大力推进清洁生产和循环经济，积极发展广就业、清洁型的都市型工业。
　　发挥产业政策作用，促进产业结构调整。大力发展优势产业，实行政策聚焦，支持和鼓励各类要素资源、资产向优势产业集聚；稳定发展均势产业，保持和扩大均势产业的市场份额和就业规模；坚决淘汰劣势产业，特别是高污染、高能耗、工艺落后的企业。
　　（三）加快城市基础设施和生态环境建设，提高城市现代化水平
　　以枢纽型、功能性、网络化基础设施建设为重点，继续加快现代化基础设施体系建设，加大环境保护和环境建设力度，加强和改善城市管理，为发挥城市综合服务功能提供坚强支撑。
　　按照“竣工一批、在建一批、储备一批”的总体要求，在确保质量和安全的前提下，推进重大工程建设。加快洋山深水港区一期工程建设，确保深水港五个泊位和东海大桥2005年底建成。启动浦东国际机场二期工程，增强中转服务功能，加快推进国际航空枢纽建设。全力建设轨道交通基本网络。加快高速公路网建设，开工建设崇明越江工程，建成沪芦高速公路等一批项目。继续加快黄浦江越江工程建设，开工建设军工路越江通道，建成复兴路隧道。全面推进黄浦江两岸重点地区开发，抓紧世博会场址地区的各项前期工作，积极筹备世博会。大力加强能源建设，建成外高桥电厂二期，开工建设外高桥电厂三期、石洞口电厂三期等重大电厂项目，基本建成上海天然气主干网一期工程，切实缓解电力等能源供应紧张局面。结合重要道路建设和改造工程，积极推进城市架空线入地。
　　以重点领域、重点项目和重点地区为突破口，加快推进第二轮“环保三年行动计划”，促进生态环境建设再上一个新台阶。全面实施苏州河环境综合整治二期工程，推进市区中小河道综合整治，建成竹园和白龙港两座大型污水处理厂，全面建设一批郊区小型污水处理设施及配套污水收集管网。加快清洁能源替代，推进扬尘污染防治，加强机动车尾气污染治理，进一步改善大气环境。按照减量化、资源化、无害化的要求，进一步推进生活垃圾分类收集和资源回收利用，开工建设老港四期生活垃圾卫生填埋场，建设医疗废物集中无害化处置设施，研究出台生活垃圾收费等政策，探索建立固体废物处置利用的市场化运作机制。加强农业生态环境保护与整治，关闭、搬迁一批水源保护区畜禽养殖场。加快推进吴淞、桃浦工业区环境综合整治，启动吴泾工业区整治。继续推进中心城区大型公共绿地和郊区片林建设，加强绿化管理和养护，新建公共绿地面积1000公顷，城市绿化覆盖率达到36%，人均公共绿地面积达到10平方米，全市森林覆盖率增加2个百分点。依法加大自然保护区建设和管理力度。
　　切实加强城市规划管理。进一步明确市与区（县）两级政府在规划管理中的职责分工，认真实施国务院批准的上海市城市总体规划，加快编制中心城区控制性编制单元规划和一批专业规划，充分发挥城市规划在城市建设和经济社会发展中的导向和调控作用。加大中心城区“双增双减”力度，使中心城区功能、布局、环境和景观相协调。开展规划的环境影响评价。建立严格的保护制度，切实保护好历史文化风貌区和优秀历史建筑。
　　促进房地产持续健康发展。房地产市场的健康发展关系到上海经济的健康稳定，关系到广大人民群众的切身利益。要坚持市场化方向，更多地运用经济手段，加强和改善房地产市场调控，努力实现供求总量基本平衡、结构基本合理，有效调控房价上涨过快的趋势，使广大普通市民能够改善住房，得到实惠。按照政府调控、市场供应、规范运作、依法管理的原则，进一步规范土地一级市场，加大土地收购储备力度，完善土地公开招投标制度。优化房地产开发结构，积极推进中低价位商品房建设，增加面向中低收入家庭的商品住房供应。完善交易规则，规范房地产交易行为。有计划有重点地推进旧区改造，优先改造房屋结构简陋、居住环境较差、市民改造愿望比较迫切的成片旧里以下地区，进一步完善廉租住房制度，加强“平改坡”工作，建立物业管理服务的新机制，不断提高市民的居住质量和水平。
　　进一步加大城市管理力度。要把交通排堵保畅继续作为城市管理的一项重要工作来抓。落实公交优先政策，继续提高轨道交通运能，优化公交线网，大力发展公共交通。坚持建管并举，增强“三横三纵”等快速干道的机动车通行能力，改造和扩建一批瓶颈堵头道路，完善中心城区路网系统，同时进一步加强道路交通的现场管理，严格控制占路施工，加快智能交通系统建设，提高城市交通的整体运行效率。加快编制各级、各类减灾预案和紧急处置保障计划，建成市应急联动中心，推进减灾组织、信息和资源整合，提高防范和处置各类突发事件的能力。加强供电、供气、供水调峰管理，确保安全度峰。
　　（四）深化国资国企改革，不断完善社会主义市场经济体制
　　坚持社会主义市场经济的改革方向，加快推进改革，进一步解放和发展生产力，毫不动摇地巩固和发展公有制经济，毫不动摇地鼓励、支持和引导非公有制经济的发展。
　　深化国资国企改革。按照管理、营运、监督相分离的原则，完善国有资产管理体制，加快政府公共管理职能和国有资产出资人职能分开，完善国有资产出资人和营运机构产权代表的委托代理关系，加强国有资产监督管理的法制建设。促进国有资本有进有退、合理流动，收缩国有资本的管理跨度、运行层级和股权比重，实现国有资本向先导性、基础性、公益性领域集中，向优势产业、支柱产业集中，增强国有资本的主导竞争力。加快建立现代产权制度，大力发展混合所有制经济，积极推行股份制，进一步形成国有资本、境外资本、民间资本相互融合、共同发展的格局。深化国有企业分配制度改革，形成有效的激励约束机制。进一步促进本地上市公司调整重组，提高上市公司的质量和效益。以明晰产权为重点，深化集体企业改革，发展多种形式的集体经济。
　　大力发展和积极引导非公有制经济。完善扩大民间投资的配套措施，制定鼓励民间投资的政策意见和投资指南，放宽市场准入，支持非公有资本进入法律法规未禁入的基础设施、公用事业及其他行业和领域，在投融资、税收、土地使用和对外贸易等方面消除所有制差别，鼓励个人、私营企业和社会资本参与国有企业改造和重组。完善中小企业服务体系，支持非公有制中小企业的发展。
　　健全市场体系，整顿和规范市场经济秩序。整合产权交易资源，拓展上海联合产权交易所功能，进一步发展证券、货币、外汇、期货、黄金、钻石等国家级要素市场，更好地为长江三角洲及全国服务。继续围绕损害人民群众生命安全及身体健康、对人民群众造成重大经济损失、对社会经济发展造成重大危害的重点问题，加大整顿和规范市场经济秩序的力度，严厉打击假冒伪劣产品，加强食品和药品安全管理，标本兼治，逐步建立长效管理机制。着力加强安全生产管理和监察，切实防范重大安全生产事故的发生。深化社会诚信体系建设，加强市场监管、行业管理和要素市场等领域的信用管理和服务，加快建立企业和个人信用管理制度。
　　（五）充分发挥浦东开发开放的先发效应，进一步扩大对内对外开放
　　在经济全球化深入发展、国际产业加快转移和我国加入世贸组织的大背景下，坚持面向世界、融入全国、服务全国，在更大范围、更广领域、更高层次上扩大开放，更好地利用国际国内两个市场、两种资源。
　　浦东新区要继续在制度创新和扩大开放等方面走在前列。把开发和开放更好地结合起来，围绕更好地发展外向型经济，进一步完善投资环境，继续加快功能开发，形成具有良好基础设施、完备法制和优质服务的综合发展环境，全面建设外向型、多功能、现代化的浦东新城区。
　　大力优化外贸结构，积极拓展对外经济发展空间。深化外贸体制改革，进一步放开外贸经营权，加快推进贸易主体多元化。做好出口退税机制改革的相关工作，完善促进出口的政策措施。大力发展服务贸易，推动服务贸易出口。优化进出口产品结构，提高高新技术产品和高附加值产品出口比重，扩大出口加工区和保税区企业出口，实现进出口贸易的持续增长。积极实施“大口岸”战略，深化“大通关”工程，提高上海口岸贸易便利化程度。全面推进外高桥保税区与港区的联动发展。继续实施“走出去”战略，发展国际工程承包及劳务合作，支持有比较优势的各类所有制企业对外投资，加快培育上海的跨国企业。
　　进一步提高利用外资的质量和水平。结合全市产业布局规划，引导外资项目向重要产业基地、国家级和市级开发园区集聚；结合城市功能提升，吸引外资投向现代服务业、基础设施、社会事业等领域，重点吸引跨国公司地区总部、研发机构和采购机构落户上海。结合国有经济布局和结构调整，鼓励外资参与国有企业改造。创新招商方式，实行园区整体招商、产业链招商、以外引外招商等多种形式招商。提高上海举办大型国际会议和活动的水平，精心协办好亚太经社会第60届年会、第2届世界工程师大会、世界卫生组织亚太区第55届年会等重要国际会议，发挥重要外事接待在经济社会发展中的服务作用。以航空港等八个领域的重点合作项目为载体，坚持政府推动与民间联动并举，推进沪港全面合作。
　　加强国内合作交流。按照“突出特色、优势互补、密切合作、共同发展”的原则，进一步加强与长江三角洲及沿江地区的合作，在产业发展、市场建设、能源利用、基础设施建设、环境保护、文化教育、人才开发等方面取得新的突破。积极参与和服务于西部大开发和东北地区等老工业基地振兴，进一步做好对口支援和国内合作交流工作。
　　（六）以信息技术的广泛应用为主导，全力推进城市信息化
　　加快城市信息化是上海率先基本实现现代化的关键。要把信息技术应用作为信息化工作的主线，加快发展信息产业，完善信息基础设施，进一步提高城市信息化水平。
　　大力推广信息技术在全社会的应用。加快建设全市统一的电子政务网络平台，开发应用政务信息资源，加强信息资源共享，逐步完善公务网，推进政务外网建设，深化政府网站的网上办事功能，完善网上办事制度。加快推进经济领域信息化，拓展“大通关”电子平台功能，建设公共物流信息网络平台，开发金融信息服务产品，改善银行卡受理和服务环境。加快推进城市建设和管理领域信息化，完善城市地理信息系统基础数据平台，启动交通信息中心建设。加快推进社会事业领域信息化，继续拓展社保卡的应用范围与功能，加强信息技术在教育、卫生、文化、体育等社会公共服务领域的应用。
　　积极发展信息产业。重点发展集成电路、网络通信设备、信息家电等高端产品，进一步完善集成电路产业链。推进国家软件出口基地建设，加快建设软件工程中心，发展以应用为导向的软件产业。依托数字电视平台、移动通信平台和宽带多媒体平台，培育以内容产业、网络增值为重点的信息服务业。加快实施传统产业信息化改造，积极促进企业加大信息化投入，提高传统产业竞争力。
　　继续完善信息基础设施和信息化发展环境。加强信息管线、无线基站等基础设施的集约化建设，整合无线电频率资源，建设数字集群通信专用网络，启动超级计算中心二期扩建项目。加快推进信息化标准工作，抓紧建设全市统一的信息安全管理体系，建立网络监控预警和容灾备份平台，完善数字认证和信息安全测评体系。
　　（七）千方百计做好就业和社会保障工作，切实维护人民群众的根本利益
　　就业是民生之本、安国之策，社会保障是关系改革发展稳定全局的重要基础，各级政府必须把促进就业和完善社会保障放在更加突出的位置，切实解决人民群众关心的实际问题。
　　实行积极的就业政策，进一步加强就业和再就业工作。继续实施新增就业岗位计划，力争今年新增就业岗位50万个。坚持劳动者自主择业、市场调节就业和政府促进就业的方针，努力改善创业和就业环境。落实税费减免、小额贷款基金和贷款贴息等扶持政策，加强开业指导，促进微小型企业、非正规劳动组织、劳动密集型产业发展，发挥它们在创造就业岗位中的作用。在社会管理、公共服务领域积极开发一批“万人就业岗位”项目，帮助年龄较大、就业比较困难的人员实现再就业。坚持开源与节流相结合，控制就业岗位流失。继续实施技能振兴计划，建立市、区（县）两级公共实训基地，加快中高级技术工人的培养，缓解就业结构矛盾。加强劳动监察，规范劳动力市场。
　　按照“完善城保、建立镇保、逐步淡出农保”的思路，加快构建多层次的社会保障体系。坚持社会统筹和个人账户相结合，完善城镇基本养老保险制度。建立社会保障基金的监督机制，规范社会保险基金征缴、使用和管理，加强政府和社会监督，确保基金运营安全。鼓励有条件的单位建立补充保险，积极发展商业性养老、医疗保险。建立工伤保险。稳妥推进小城镇社会保险制度，落实相关配套政策。继续做好帮困救助工作，完善城乡最低生活保障制度，在保障基本生活的同时，实行分类救助，鼓励有劳动能力的低保对象主动就业。
　　深化医保、医疗和医药的联动改革。坚持基本医疗保基本的原则，完善城镇职工基本医疗保险制度，推进实施医保分类给付，深化定点医疗机构的契约化管理，规范基本医疗服务。进一步扩大医保定点药店数量，推进药品流通体制机制改革，鼓励“平价药房”规范健康发展，让群众用上价廉质优的放心药。完善社区卫生服务中心功能和服务模式，引导常见病、多发病患者到社区卫生服务中心就医，探索建立社区卫生服务中心与二、三级医院的转诊制度。开展公立医院医药分离试点，完善补偿机制，逐步解决“以药养医”问题。优化卫生资源配置，推进管办分离。推动中外合资合作办医和社会多元办医，加快建设上海国际医学园区，建立公平竞争、规范有序的医疗服务市场。
　　继续做好社会福利、社区管理等工作。建立政府购买服务机制，扩大社会养老服务，逐步形成覆盖老年人口的居家养老照料和服务体系。积极发展社会公益事业。关心残疾人就业和基本生活，做好2007年特殊奥运会的筹备工作。加快推进社区建设，培育和发展社区政务类、服务类公益性民间组织，提升社区公共服务功能。加强国防教育，进一步提升双拥工作内涵，实行优抚规范化管理，深化退伍军人安置工作改革。
　　切实维护社会稳定。要重视和加强人民来信来访工作，完善化解人民内部矛盾的工作机制，妥善处理好与人民群众切身利益相关的各类问题。坚持依法管理，规范动拆迁、征地农民安置、企业转制等方面的工作，切实维护人民群众的合法权益。加强社会治安管理，依法严厉打击各种刑事犯罪和经济犯罪。
　　（八）加强社会事业和精神文明建设，促进经济社会协调发展
　　不断完善社会事业体系，是坚持科学发展观的重要体现。要建设若干现代化、功能性的重大社会事业项目和一批公益性、基础性社会事业项目，加快各项社会事业发展，大力推进精神文明建设，进一步提高城市文明程度和市民整体素质。
　　推进教育改革和发展。以全面实施教育综合改革试验为动力，加快教育体制和机制创新，优化教育资源配置，促进教育与经济、科技的紧密结合，提高教育现代化水平。继续实施高校布局结构调整，重点加强杨浦知识创新区和闵行紫竹科学园区的建设，加快松江、南汇等大学园区的发展。加强重点学科建设，促进高校进一步依法自主办学。全面实施素质教育，切实加强师资队伍建设，提高基础教育的整体质量和水平。推动义务教育均衡化发展，进一步加强农村教育工作，继续改善基础相对薄弱的中小学校的办学条件，改善进城务工就业农民适龄子女的就学条件。推进教育国际交流与合作，鼓励和促进民办教育健康发展。大力发展职业教育，建设一批示范性的高等职业技术院校，培养更多高素质的知识型技能人才。
　　大力加强文化建设。以推进文化体制改革试点工作为抓手，发展公益性文化事业，壮大经营性文化产业。加强图书馆、博物馆建设，重点扶持体现上海优势和特色的公益性文艺院团的发展，启动建设百个社区文化活动中心、百个科普教育基地等一批公益性基础项目，完成上海科技馆二期工程，建成东方艺术中心，启用市档案馆外滩新馆。繁荣文艺创作，实施精品战略，办好艺术类院校，优化文化环境，推动文化创新，努力使上海成为优秀文化人才、文化艺术精品和高质量文化要素的集聚地，不断丰富市民文化生活和提升城市文化品质。做大做强文化产业集团，增强上海文化产业的竞争力。完善文化行政管理机制，健全文化市场综合执法机构，加大政府对文化事业的投入，深化文化投融资体制改革，鼓励和吸引社会资金参与文化发展，为各种文化机构和文化企业发展创造良好的政策环境。继续办好上海国际艺术节等重大文化活动，推动中外文化交流与合作。促进哲学社会科学事业发展，为全面建成小康社会和上海现代化建设提供科学理论支撑。
　　深入开展精神文明创建活动。大力推进“三个代表”重要思想的宣传教育，弘扬爱国主义精神，坚定建设中国特色社会主义的理想信念。大力弘扬民族精神、科学精神和社会正气，加强社会公德、职业道德和家庭美德教育，实践和丰富上海城市精神。实施“迎世博”文明行动和文化行动，促进城市文明程度不断提高，让世界更好地了解上海。加强科普工作，推进“四五”普法，扩大和完善志愿者服务活动，进一步提高市民素质。
　　加强公共卫生和体育事业建设。坚持预防为主的方针，切实加大对公共卫生的财政投入和政策支持，全面实施“公共卫生三年行动计划”和“健康城市三年行动计划”，建成上海市公共卫生中心；加快公共卫生医疗救治机构建设，完成市、区（县）疾病预防控制中心和卫生监督所的建设，增强突发公共卫生事件应急处理能力，不断提高疾病预防水平。大力推进乡镇卫生院建设，建立和完善新型农村合作医疗制度，提高农民医疗保障水平。引导和支持广大市民广泛参与各种健康促进活动，提倡科学健康文明的生活方式。建成上海国际赛车场，办好一级方程式世界锦标赛中国站比赛，有重点地加快竞技体育发展，办好全国大学生运动会，加快百个社区公共运动场等社区健身设施建设，推动全民健身活动的深入开展。
